

(Table XV)	Centrality  0- 5%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   1.340 |  31.997 | \pm  0.101    |  80.17 |  62.05 | \pm  3.85   | 0.71         | 48.0  | \pm  1.34   | \pm  1.27   | \pm  4.27   
 0.678      |   0.233 |  31.167 | \pm  0.099    |  80.14 |  62.08 | \pm  3.92   | 0.67         | 47.2  | \pm  3.19   | \pm  1.69   | \pm  5.33   
 0.656      |   8.920 |  30.109 | \pm  0.096    |  81.43 |  63.00 | \pm  4.07   | 0.68         | 46.9  | \pm  1.52   | \pm  0.92   | \pm  4.44   
 0.634      |   7.606 |  29.051 | \pm  0.094    |  81.18 |  62.71 | \pm  4.17   | 0.68         | 45.8  | \pm  3.68   | \pm  1.51   | \pm  5.76   
 0.613      |   6.282 |  28.006 | \pm  0.092    |  82.48 |  63.67 | \pm  4.38   | 0.78         | 44.7  | \pm  1.90   | \pm  1.68   | \pm  5.07   
 0.591      |   4.986 |  27.000 | \pm  0.090    |  81.78 |  63.12 | \pm  4.43   | 0.76         | 44.2  | \pm  2.76   | \pm  1.37   | \pm  5.39   
 0.569      |   3.656 |  25.947 | \pm  0.088    |  81.76 |  63.04 | \pm  4.53   | 0.75         | 43.4  | \pm  1.38   | \pm  1.07   | \pm  4.86   
 0.547      |   2.342 |  24.895 | \pm  0.086    |  81.09 |  62.42 | \pm  4.60   | 0.68         | 42.5  | \pm  1.91   | \pm  1.56   | \pm  5.22   
 0.525      |   1.029 |  23.848 | \pm  0.083    |  81.53 |  62.67 | \pm  4.76   | 0.72         | 41.5  | \pm  1.98   | \pm  1.63   | \pm  5.40   
 0.503      |   9.714 |  22.794 | \pm  0.081    |  81.92 |  62.85 | \pm  4.93   | 0.77         | 40.5  | \pm  1.94   | \pm  1.10   | \pm  5.41   
 0.481      |   8.395 |  21.731 | \pm  0.079    |  82.20 |  62.93 | \pm  5.11   | 0.77         | 39.3  | \pm  2.21   | \pm  1.08   | \pm  5.67   
 0.459      |   7.071 |  20.654 | \pm  0.077    |  82.39 |  62.89 | \pm  5.33   | 0.79         | 38.3  | \pm  2.25   | \pm  1.31   | \pm  5.93   
 0.438      |   5.754 |  19.579 | \pm  0.074    |  81.71 |  62.18 | \pm  5.47   | 0.78         | 37.1  | \pm  2.79   | \pm  1.73   | \pm  6.38   
 0.416      |   4.428 |  18.499 | \pm  0.072    |  82.61 |  62.66 | \pm  5.83   | 0.82         | 35.8  | \pm  2.05   | \pm  1.10   | \pm  6.28   
 0.394      |   3.116 |  17.436 | \pm  0.070    |  81.91 |  61.93 | \pm  6.04   | 0.78         | 34.6  | \pm  2.84   | \pm  1.75   | \pm  6.90   
 0.372      |   1.803 |  16.374 | \pm  0.068    |  82.06 |  61.77 | \pm  6.34   | 0.78         | 33.3  | \pm  2.84   | \pm  1.94   | \pm  7.21   
 0.350      |   0.516 |  15.364 | \pm  0.046    |  82.29 |  61.74 | \pm  4.77   | 0.82         | 32.1  | \pm  3.10   | \pm  2.13   | \pm  6.08   
 0.328      |   9.244 |  14.448 | \pm  0.044    |  81.98 |  61.71 | \pm  4.99   | 0.82         | 30.8  | \pm  2.85   | \pm  2.02   | \pm  6.09   
